datetime,influent,surge
3/4/2022 9:57,2.641845465,0.402340174
3/4/2022 10:33,2.150960207,710.348938
3/4/2022 11:09,2.265908241,704.519104
3/4/2022 11:45,2.537732601,691.1516724
3/4/2022 12:21,1.995497227,706.6390381
3/4/2022 12:57,3.00836134,698.6303101
3/4/2022 13:33,2.840649128,699.2781372
3/4/2022 14:09,2.690839767,709.9367676
3/4/2022 14:45,2.9296875,703.1646729
3/4/2022 15:21,2.291347504,698.5125732
3/4/2022 15:57,2.881164074,685.7929077
3/4/2022 16:33,2.59002471,686.8529053
3/4/2022 17:09,2.281926155,692.3294067
3/4/2022 17:45,2.769984722,708.5234375
3/4/2022 18:21,2.487796307,705.0491333
3/4/2022 18:57,2.505226851,689.5617065
3/4/2022 19:33,2.896238804,687.029541
3/4/2022 20:09,2.335631371,0.343406588
3/4/2022 20:45,2.48732543,0.402340174
3/4/2022 21:21,2.610282183,0.461184323
3/4/2022 21:57,2.194772482,0.402340174
3/4/2022 22:33,2.347408772,0.343406588
3/4/2022 23:09,2.235287189,0.402340174
3/4/2022 23:45,1.65819025,0.402340174
3/5/2022 0:21,1.391547918,698.2181396
3/5/2022 0:57,1.140923262,704.519104
3/5/2022 1:33,1.273772955,705.3435669
3/5/2022 2:09,1.145634413,689.208374
3/5/2022 2:45,0.822930932,692.4472046
3/5/2022 3:21,0.892654002,686.6762085
3/5/2022 3:57,0.866272509,684.7918091
3/5/2022 4:33,0.845072865,0.402340174
3/5/2022 5:09,0.714107573,0.402340174
3/5/2022 5:45,1.265293717,0.343406588
3/5/2022 6:21,0.557231545,0.343406588
3/5/2022 6:57,0.954367697,0.402340174
3/5/2022 7:33,1.095226645,688.3839111
3/5/2022 8:09,1.304865599,693.56604
3/5/2022 8:45,1.956395864,706.8157349
3/5/2022 9:21,1.409450173,709.7011719
3/5/2022 9:57,2.240939856,674.7220459
3/5/2022 10:33,1.984661937,678.1964111
3/5/2022 11:09,1.736392498,674.604248
3/5/2022 11:45,2.170275211,609.9459229
3/5/2022 12:21,2.095841408,0.343406588
3/5/2022 12:57,1.712366939,0.343406588
3/5/2022 13:33,2.286636353,0.343406588
3/5/2022 14:09,2.376616955,0.343406588
3/5/2022 14:45,1.934254885,0.343406588
3/5/2022 15:21,2.078411102,0.343406588
3/5/2022 15:57,2.27391696,0.343406588
3/5/2022 16:33,1.926717043,0.284562439
3/5/2022 17:09,1.669025421,0.284562439
3/5/2022 17:45,2.00397706,0.343406588
3/5/2022 18:21,2.038367033,692.3883057
3/5/2022 18:57,1.763245344,713.0577393
3/5/2022 19:33,1.644528389,702.8703003
3/5/2022 20:09,2.054384947,686.3817749
3/5/2022 20:45,1.698704958,618.7789917
3/5/2022 21:21,1.392019391,0.284562439
3/5/2022 21:57,1.200281858,0.225628868
3/5/2022 22:33,1.83862102,0.284562439
3/5/2022 23:09,1.522984505,687.0884399
3/5/2022 23:45,1.160238504,690.1505737
3/6/2022 0:21,1.019851089,715.5310669
3/6/2022 0:57,0.862974286,688.501709
3/6/2022 1:33,0.783829808,697.6881714
3/6/2022 2:09,0.966145098,702.0458374
3/6/2022 2:45,0.691494226,657.2324829
3/6/2022 3:21,0.509650409,677.0186768
3/6/2022 3:57,0.781945348,696.510376
3/6/2022 4:33,0.429092228,617.6013184
3/6/2022 5:09,0.409777075,0.284562439
3/6/2022 5:45,0.731066883,0.225628868
3/6/2022 6:21,0.362195939,0.225628868
3/6/2022 6:57,0.455473721,0.225628868
3/6/2022 7:33,0.631193459,0.225628868
3/6/2022 8:09,0.643442392,0.225628868
3/6/2022 8:45,1.04152143,0.225628868
3/6/2022 9:21,1.135741472,0.225628868
3/6/2022 9:57,0.999122143,0.284562439
3/6/2022 10:33,1.668083191,0.225628868
3/6/2022 11:09,1.504140973,0.284562439
3/6/2022 11:45,1.615791678,0.225628868
3/6/2022 12:21,2.136356115,699.1603394
3/6/2022 12:57,2.151902199,693.0949097
3/6/2022 13:33,2.443513155,667.3022461
3/6/2022 14:09,2.253660202,603.0560913
3/6/2022 14:45,2.066633701,0.225628868
3/6/2022 15:21,2.262139559,0.225628868
3/6/2022 15:57,1.941791773,0.166784719
3/6/2022 16:33,2.198541164,0.166784719
3/6/2022 17:09,2.481200695,354.7867737
3/6/2022 17:45,1.930956602,1401.333862
3/6/2022 18:21,2.034127474,647.0450439
3/6/2022 18:57,2.110916615,701.5158691
3/6/2022 19:33,2.178755283,676.1942749
3/6/2022 20:09,2.33468914,613.4202881
3/6/2022 20:45,2.285694361,0.225628868
3/6/2022 21:21,1.962991476,0.225628868
3/6/2022 21:57,2.085005999,0.225628868
3/6/2022 22:33,1.842861414,0.225628868
3/6/2022 23:09,1.636048436,0.225628868
3/6/2022 23:45,1.342553854,0.225628868
3/7/2022 0:21,1.025503635,689.4439087
3/7/2022 0:57,0.667468667,711.3500366
3/7/2022 1:33,0.497401536,654.0526123
3/7/2022 2:09,0.471962303,693.624939
3/7/2022 2:45,0.750382066,690.6217041
3/7/2022 3:21,0.411190778,693.56604
3/7/2022 3:57,0.509178996,655.5836792
3/7/2022 4:33,0.601985335,569.1958618
3/7/2022 5:09,0.514832318,0.166784719
3/7/2022 5:45,0.551106811,0.225628868
3/7/2022 6:21,0.996766984,0.166784719
3/7/2022 6:57,1.179553747,0.225628868
3/7/2022 7:33,2.196186066,0.225628868
3/7/2022 8:09,2.151902199,0.225628868
3/7/2022 8:45,2.77422452,0.225628868
3/7/2022 9:21,1.934725642,634.619751
3/7/2022 9:57,1.851812124,714.6477051
3/7/2022 10:33,2.327151299,698.8659058
3/7/2022 11:09,1.459386468,704.1068726
3/7/2022 11:45,1.909756899,685.6751099
3/7/2022 12:21,2.190061092,667.4788818
3/7/2022 12:57,2.182524204,588.74646
3/7/2022 13:33,2.58390069,0.225628868
3/7/2022 14:09,2.557990074,0.284562439
3/7/2022 14:45,1.979480028,0.225628868
3/7/2022 15:21,2.85007143,0.225628868
3/7/2022 15:57,2.054384947,0.225628868
3/7/2022 16:33,2.350235462,0.225628868
3/7/2022 17:09,2.049673557,0.284562439
3/7/2022 17:45,1.747228503,0.225628868
3/7/2022 18:21,2.545270205,694.4494019
3/7/2022 18:57,2.388864994,712.527771
3/7/2022 19:33,2.513706923,698.3947754
3/7/2022 20:09,2.422784328,694.6848755
3/7/2022 20:45,1.775494337,695.2149048
3/7/2022 21:21,2.682831049,633.3831177
3/7/2022 21:57,2.216914177,647.3394165
3/7/2022 22:33,1.916824102,661.9434814
3/7/2022 23:09,1.975240469,628.2010498
3/7/2022 23:45,1.467866421,626.9055176
3/8/2022 0:21,1.283195257,557.3005981
3/8/2022 0:57,1.015610695,0.225628868
3/8/2022 1:33,0.919977665,0.284562439
3/8/2022 2:09,0.856850266,0.284562439
3/8/2022 2:45,0.871454358,316.686615
3/8/2022 3:21,0.587381244,706.7568359
3/8/2022 3:57,0.366436303,702.8113403
3/8/2022 4:33,0.709396482,693.9782715
3/8/2022 5:09,0.341938525,673.2498779
3/8/2022 5:45,0.429563016,596.4018555
3/8/2022 6:21,0.749439836,3.700027466
3/8/2022 6:57,1.510736465,0.166784719
3/8/2022 7:33,2.029416323,0.10785114
3/8/2022 8:09,2.479316235,0.10785114
3/8/2022 8:45,2.796366215,0.10785114
3/8/2022 9:21,2.206549883,0.10785114
3/8/2022 9:57,1.798106909,0.225628868
3/8/2022 10:33,1.591765404,0.225628868
3/8/2022 11:09,2.42749548,0.225628868
3/8/2022 11:45,2.146720409,0.225628868
3/8/2022 12:21,1.445724607,0.225628868
3/8/2022 12:57,2.716279745,693.3894043
3/8/2022 13:33,2.350235462,693.1538696
3/8/2022 14:09,2.282868385,675.1342773
3/8/2022 14:45,2.5259552,653.2870483
3/8/2022 15:21,2.016696692,630.9098511
3/8/2022 15:57,2.180639744,631.5575562
3/8/2022 16:33,2.255543947,0.343406588
3/8/2022 17:09,1.821661711,0.284562439
3/8/2022 17:45,2.034598827,0.284562439
3/8/2022 18:21,2.147191286,0.284562439
3/8/2022 18:57,1.98513329,635.1497192
3/8/2022 19:33,2.522657633,701.4569702
3/8/2022 20:09,2.450108051,691.6816406
3/8/2022 20:45,2.070401907,637.7407837
3/8/2022 21:21,2.452463865,654.7003784
3/8/2022 21:57,2.454348326,576.4389648
3/8/2022 22:33,2.050616026,0.343406588
3/8/2022 23:09,2.33186245,0.402340174
3/8/2022 23:45,2.036483288,0.343406588
3/9/2022 0:21,1.636048436,0.343406588
3/9/2022 0:57,1.538060188,0.343406588
3/9/2022 1:33,1.003833294,659.9413452
3/9/2022 2:09,0.861090541,707.5223389
3/9/2022 2:45,0.769225717,695.1560059
3/9/2022 3:21,0.988286972,688.9728394
3/9/2022 3:57,0.652393103,667.0667114
3/9/2022 4:33,0.724471331,0.343406588
3/9/2022 5:09,1.005246997,0.343406588
3/9/2022 5:45,0.737662435,0.343406588
3/9/2022 6:21,0.821517944,0.343406588
3/9/2022 6:57,1.860292196,0.343406588
3/9/2022 7:33,1.940849662,0.343406588
3/9/2022 8:09,2.706857443,703.5768433
3/9/2022 8:45,2.589082479,710.7612305
3/9/2022 9:21,1.733565807,675.369812
3/9/2022 9:57,2.078411102,689.6205444
3/9/2022 10:33,1.701531649,698.3359375
3/9/2022 11:09,1.575276852,696.7459717
3/9/2022 11:45,2.117983103,690.7984009
3/9/2022 12:21,1.486239433,699.7492676
3/9/2022 12:57,2.530195475,661.59021
3/9/2022 13:33,1.894682169,0.343406588
3/9/2022 14:09,1.73497963,0.343406588
3/9/2022 14:45,1.9074018,0.343406588
3/9/2022 15:21,1.726028919,0.343406588
3/9/2022 15:57,1.828728199,0.343406588
3/9/2022 16:33,1.508380413,713.5877686
3/9/2022 17:09,1.242209673,716.5910034
3/9/2022 17:45,1.788214087,693.4482422
3/9/2022 18:21,1.952627063,690.5039063
3/9/2022 18:57,1.840977073,692.2116089
3/9/2022 19:33,1.788214087,693.8604736
3/9/2022 20:09,1.601658344,3.287760258
3/9/2022 20:45,1.857465506,0.284562439
3/9/2022 21:21,1.820248127,0.284562439
3/9/2022 21:57,1.364224195,0.284562439
3/9/2022 22:33,1.689753532,0.284562439
3/9/2022 23:09,1.236556411,630.8509521
3/9/2022 23:45,0.909142494,702.7525024
3/10/2022 0:21,0.749910593,706.1090698
3/10/2022 0:57,0.534147501,709.2300415
3/10/2022 1:33,1.112657309,689.0905762
3/10/2022 2:09,1.046232581,707.1101685
3/10/2022 2:45,1.261053443,695.6271362
3/10/2022 3:21,0.87804991,691.446106
3/10/2022 3:57,0.801732063,689.6795044
3/10/2022 4:33,0.655219793,687.7362061
3/10/2022 5:09,0.756506145,708.0523682
3/10/2022 5:45,0.934110999,0.166784719
3/10/2022 6:21,1.04340589,0.225628868
3/10/2022 6:57,1.83956337,0.166784719
3/10/2022 7:33,1.638404369,691.387207
3/10/2022 8:09,1.99408412,759.166626
3/10/2022 8:45,2.274388313,723.3041992
3/10/2022 9:21,1.458444238,733.1383667
3/10/2022 9:57,1.366580129,673.6621094
3/10/2022 10:33,1.420756102,718.5931396
3/10/2022 11:09,1.270946383,687.2650757
3/10/2022 11:45,1.379770517,0.284562439
3/10/2022 12:21,1.31758523,0.225628868
3/10/2022 12:57,1.969115496,0.284562439
3/10/2022 13:33,3.04227972,0.284562439
3/10/2022 14:09,3.243439436,0.284562439
3/10/2022 14:45,3.126606703,0.284562439
3/10/2022 15:21,2.981036663,0.284562439
3/10/2022 15:57,2.855724812,0.284562439
3/10/2022 16:33,1.643115282,736.9071655
3/10/2022 17:09,1.98890233,712.9989014
3/10/2022 17:45,1.718961716,1405.397095
3/10/2022 18:21,2.167920113,1397.27063
3/10/2022 18:57,1.726499557,702.3991699
3/10/2022 19:33,2.190061092,722.2442017
3/10/2022 20:09,2.159440041,707.8756714
3/10/2022 20:45,2.278157234,711.6444702
3/10/2022 21:21,2.328093529,0.284562439
3/10/2022 21:57,1.741575122,0.284562439
3/10/2022 22:33,2.699790955,0.343406588
3/10/2022 23:09,2.005861521,0.284562439
3/10/2022 23:45,1.609196186,0.284562439
3/11/2022 0:21,1.054241061,0.284562439
3/11/2022 0:57,1.211587787,588.4520264
3/11/2022 1:33,1.102764368,703.6358032
3/11/2022 2:09,0.934110999,698.68927
3/11/2022 2:45,1.511678696,702.1636353
3/11/2022 3:21,0.903960586,693.1538696
3/11/2022 3:57,0.898307323,696.5692749
3/11/2022 4:33,1.240325212,655.0536499
3/11/2022 5:09,0.859676838,0.284562439
3/11/2022 5:45,0.95295471,0.225628868
3/11/2022 6:21,1.297328591,0.225628868
3/11/2022 6:57,1.55266428,0.284562439
3/11/2022 7:33,2.779877663,0.284562439
3/11/2022 8:09,2.536319494,0.225628868
3/11/2022 8:45,2.892470837,0.284562439
3/11/2022 9:21,1.92624557,653.6992798
3/11/2022 9:57,2.330448627,1395.798462
3/11/2022 10:33,2.044962645,714.9421997
3/11/2022 11:09,2.544328213,696.6870728
3/11/2022 11:45,2.181110382,700.3969727
3/11/2022 12:21,2.117983103,688.7372437
3/11/2022 12:57,2.788357735,689.7972412
3/11/2022 13:33,2.416660309,683.3196411
3/11/2022 14:09,2.545741081,706.2857056
3/11/2022 14:45,2.391221046,710.2312012
3/11/2022 15:21,2.499573708,690.7984009
3/11/2022 15:57,1.828257322,694.2138062
3/11/2022 16:33,2.357301712,698.7481079
3/11/2022 17:09,1.840977073,489.8744507
3/11/2022 17:45,2.354475021,456.6031189
3/11/2022 18:21,2.137298107,484.5157166
3/11/2022 18:57,2.445868254,475.8592834
3/11/2022 19:33,2.217384815,543.4031372
3/11/2022 20:09,2.359656811,465.8484192
3/11/2022 20:45,2.185821533,448.0055237
3/11/2022 21:21,1.787742615,418.9151917
3/11/2022 21:57,2.216914177,0.284562439
3/11/2022 22:33,1.75099659,0.343406588
3/11/2022 23:09,1.593649864,0.343406588
3/11/2022 23:45,1.791511416,0.343406588
3/12/2022 0:21,1.385894537,0.343406588
3/12/2022 0:57,1.065076232,0.343406588
3/12/2022 1:33,1.025503635,1400.273926
3/12/2022 2:09,0.999122143,400.6011353
3/12/2022 2:45,1.412276745,390.236969
3/12/2022 3:21,0.639673471,383.2294312
3/12/2022 3:57,0.691965699,469.263916
3/12/2022 4:33,0.655219793,472.7382813
3/12/2022 5:09,0.807384729,442.2345886
3/12/2022 5:45,0.514360845,439.1135254
3/12/2022 6:21,0.585026026,434.28479
3/12/2022 6:57,0.918564677,411.5542297
3/12/2022 7:33,1.03257072,373.1596375
3/12/2022 8:09,2.276272774,405.5477295
3/12/2022 8:45,2.093957424,381.874939
3/12/2022 9:21,2.433148861,0.343406588
3/12/2022 9:57,2.036483288,0.343406588
3/12/2022 10:33,2.705443859,0.343406588
3/12/2022 11:09,2.78317523,0.343406588
3/12/2022 11:45,3.012129307,0.284562439
3/12/2022 12:21,2.566940784,0.343406588
3/12/2022 12:57,3.185493946,0.343406588
3/12/2022 13:33,3.238257885,0.343406588
3/12/2022 14:09,3.007889748,0.343406588
3/12/2022 14:45,2.916967869,0.343406588
3/12/2022 15:21,2.873626232,0.343406588
3/12/2022 15:57,2.866559982,0.343406588
3/12/2022 16:33,2.770926952,118.2360535
3/12/2022 17:09,2.381327868,1377.366577
3/12/2022 17:45,2.929215908,544.7575684
3/12/2022 18:21,2.377087593,554.6506348
3/12/2022 18:57,2.3247962,579.206665
3/12/2022 19:33,2.668226957,674.1332397
3/12/2022 20:09,2.229162455,681.4941406
3/12/2022 20:45,2.499573708,646.22052
3/12/2022 21:21,2.291347504,627.6710205
3/12/2022 21:57,1.739690542,635.8563843
3/12/2022 22:33,2.072286367,574.6134644
3/12/2022 23:09,1.458444238,405.4888
3/12/2022 23:45,1.41510272,361.3233032
3/13/2022 0:21,1.80187583,308.1479492
3/13/2022 0:57,1.374588728,298.5492859
3/13/2022 1:33,1.422169685,342.9504089
3/13/2022 3:09,1.230432272,320.5731812
3/13/2022 3:45,0.835650623,353.2556458
3/13/2022 4:21,0.679716825,334.0584412
3/13/2022 4:57,0.737190962,305.026886
3/13/2022 5:33,1.03963697,287.3018188
3/13/2022 6:09,0.772994637,0.284562439
3/13/2022 6:45,0.666997194,0.284562439
3/13/2022 7:21,0.94494617,0.284562439
3/13/2022 7:57,1.210174918,0.284562439
3/13/2022 8:33,1.373174906,0.284562439
3/13/2022 9:09,2.300769806,0.284562439
3/13/2022 9:45,2.179225922,0.284562439
3/13/2022 10:21,2.406295776,0.284562439
3/13/2022 10:57,2.710626364,467.9683533
3/13/2022 11:33,2.928273678,706.1090698
3/13/2022 12:09,2.806259155,695.8626709
3/13/2022 12:45,2.483556509,567.2525635
3/13/2022 13:21,2.835467339,569.9024658
3/13/2022 13:57,2.626770496,580.3844604
3/13/2022 14:33,2.93062973,521.3203735
3/13/2022 15:09,3.060652733,529.682373
3/13/2022 15:45,2.769513369,559.5383301
3/13/2022 16:21,2.951357841,511.7805786
3/13/2022 16:57,2.698848963,461.3729858
3/13/2022 17:33,2.566940784,423.9794312
3/13/2022 18:09,2.716279745,0.402340174
3/13/2022 18:45,2.741718769,0.343406588
